Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
498,CA-2016-126158,2016-07-25,7/31/2016,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627,West,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",255.76,4,0.0,81.8432
499,CA-2016-126158,2016-07-25,7/31/2016,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627,West,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,241.568,2,0.2,18.1176
500,CA-2016-126158,2016-07-25,7/31/2016,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627,West,FUR-FU-10000073,Furniture,Furnishings,Deflect-O Glasstique Clear Desk Accessories,69.3,9,0.0,22.869
1159,CA-2016-149314,2016-07-02,7/7/2016,Second Class,GB-14530,George Bell,Corporate,United States,Los Angeles,California,90004,West,FUR-CH-10002126,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,195.184,1,0.2,19.5184
1201,CA-2016-114727,2016-07-18,7/24/2016,Standard Class,LS-16945,Linda Southworth,Corporate,United States,Denver,Colorado,80219,West,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,544.008,3,0.2,40.8006
1203,CA-2016-114727,2016-07-18,7/24/2016,Standard Class,LS-16945,Linda Southworth,Corporate,United States,Denver,Colorado,80219,West,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,854.352,3,0.2,10.6794
1212,CA-2016-137050,2016-07-14,7/18/2016,Second Class,SW-20755,Steven Ward,Corporate,United States,New York City,New York,10009,East,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,579.136,4,0.2,21.7176
1412,CA-2016-136329,2016-07-09,7/13/2016,Standard Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,10035,East,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,408.006,2,0.1,72.5344
1413,CA-2016-136329,2016-07-09,7/13/2016,Standard Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,10035,East,FUR-FU-10000723,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",165.28,4,0.0,14.8752
1528,CA-2016-122392,2016-07-22,7/27/2016,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,Allentown,Pennsylvania,18103,East,FUR-FU-10002456,Furniture,Furnishings,"Master Caster Door Stop, Large Neon Orange",11.648,2,0.2,3.3488
1799,CA-2016-100965,2016-07-07,7/11/2016,Standard Class,RM-19375,Raymond Messe,Consumer,United States,San Jose,California,95123,West,FUR-FU-10003039,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",215.65,5,0.0,73.321
1842,CA-2016-157763,2016-07-18,7/23/2016,Standard Class,KH-16330,Katharine Harms,Corporate,United States,Bowling Green,Kentucky,42104,South,FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,140.81,1,0.0,39.4268
1941,CA-2016-112109,2016-07-08,7/12/2016,Standard Class,JE-15715,Joe Elijah,Consumer,United States,Broomfield,Colorado,80020,West,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,662.88,3,0.2,74.574
2372,CA-2016-159940,2016-07-07,7/11/2016,Second Class,BF-11020,Barry Franzsisch,Corporate,United States,Aurora,Illinois,60505,Central,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,60.288,8,0.6,-27.1296
2375,CA-2016-159940,2016-07-07,7/11/2016,Second Class,BF-11020,Barry Franzsisch,Corporate,United States,Aurora,Illinois,60505,Central,FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,253.372,2,0.3,-14.4784
3365,CA-2016-130050,2016-07-16,7/18/2016,Second Class,MC-17425,Mark Cousins,Corporate,United States,Houston,Texas,77036,Central,FUR-FU-10001940,Furniture,Furnishings,Staple-based wall hangings,9.552,3,0.6,-3.8208
3581,CA-2016-104157,2016-07-25,7/29/2016,Standard Class,MT-17815,Meg Tillman,Consumer,United States,Jackson,Mississippi,39212,South,FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",2430.08,8,0.0,388.8128
3983,CA-2016-135265,2016-07-07,7/9/2016,Second Class,CC-12370,Christopher Conant,Consumer,United States,Los Angeles,California,90045,West,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",287.968,4,0.2,-3.5996
4452,CA-2016-147137,2016-07-04,7/6/2016,First Class,AA-10645,Anna Andreadi,Consumer,United States,San Francisco,California,94109,West,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",25.4,5,0.0,8.636
4454,CA-2016-147137,2016-07-04,7/6/2016,First Class,AA-10645,Anna Andreadi,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1279.165,5,0.15,225.735
4675,CA-2016-133550,2016-07-31,8/6/2016,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Detroit,Michigan,48205,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,0.0,30.0234
5834,CA-2016-142895,2016-07-21,7/26/2016,Standard Class,BP-11290,Beth Paige,Consumer,United States,Concord,North Carolina,28027,South,FUR-CH-10002961,Furniture,Chairs,"Leather Task Chair, Black",363.92,5,0.2,0.0
5936,CA-2016-103107,2016-07-04,7/4/2016,Same Day,RB-19465,Rick Bensley,Home Office,United States,Seattle,Washington,98103,West,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",25.4,5,0.0,8.636
5985,CA-2016-163776,2016-07-19,7/25/2016,Standard Class,JS-16030,Joy Smith,Consumer,United States,Hattiesburg,Mississippi,39401,South,FUR-FU-10001185,Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",185.58,6,0.0,76.0878
5990,CA-2016-163776,2016-07-19,7/25/2016,Standard Class,JS-16030,Joy Smith,Consumer,United States,Hattiesburg,Mississippi,39401,South,FUR-BO-10003546,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,504.9,5,0.0,126.225
6274,US-2016-139087,2016-07-17,7/22/2016,Second Class,DK-13375,Dennis Kane,Consumer,United States,Seattle,Washington,98105,West,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,0.0,4.4712
6276,US-2016-139087,2016-07-17,7/22/2016,Second Class,DK-13375,Dennis Kane,Consumer,United States,Seattle,Washington,98105,West,FUR-FU-10004164,Furniture,Furnishings,"Eldon 300 Class Desk Accessories, Black",24.75,5,0.0,10.89
6762,CA-2016-162943,2016-07-24,7/26/2016,Second Class,DB-12970,Darren Budd,Corporate,United States,New York City,New York,10035,East,FUR-CH-10001708,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,253.764,2,0.1,31.0156
6958,CA-2016-157588,2016-07-14,7/19/2016,Standard Class,AR-10570,Anemone Ratner,Consumer,United States,Columbus,Georgia,31907,South,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",51.75,1,0.0,15.525
7226,CA-2016-109953,2016-07-14,7/18/2016,Standard Class,RB-19360,Raymond Buch,Consumer,United States,San Francisco,California,94122,West,FUR-FU-10000073,Furniture,Furnishings,Deflect-O Glasstique Clear Desk Accessories,30.8,4,0.0,10.164
7932,US-2016-168095,2016-07-15,7/20/2016,Standard Class,MC-17425,Mark Cousins,Corporate,United States,Portland,Oregon,97206,West,FUR-CH-10004886,Furniture,Chairs,Bevis Steel Folding Chairs,230.28,3,0.2,23.028
8168,CA-2016-144148,2016-07-31,8/5/2016,Standard Class,AH-10690,Anna Hberlin,Corporate,United States,San Francisco,California,94122,West,FUR-TA-10002774,Furniture,Tables,Laminate Occasional Tables,863.128,7,0.2,-32.3673
8632,CA-2016-107783,2016-07-28,7/29/2016,First Class,OT-18730,Olvera Toch,Consumer,United States,Bethlehem,Pennsylvania,18018,East,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",177.45,5,0.5,-78.078
8759,CA-2016-114307,2016-07-22,7/26/2016,Standard Class,MF-17665,Maureen Fritzler,Corporate,United States,Columbia,Maryland,21044,East,FUR-FU-10000794,Furniture,Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",27.42,3,0.0,9.3228
8777,CA-2016-102813,2016-07-02,7/3/2016,First Class,EA-14035,Erin Ashbrook,Corporate,United States,Huntsville,Texas,77340,Central,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",528.43,5,0.3,0.0
9592,US-2016-105452,2016-07-28,8/1/2016,Standard Class,BF-11005,Barry Franz,Home Office,United States,Pasadena,Texas,77506,Central,FUR-FU-10003691,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony",24.7,5,0.6,-9.88
9593,US-2016-105452,2016-07-28,8/1/2016,Standard Class,BF-11005,Barry Franz,Home Office,United States,Pasadena,Texas,77506,Central,FUR-FU-10003806,Furniture,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",302.72,5,0.6,-378.4
9894,US-2016-115441,2016-07-25,7/28/2016,Second Class,SH-19975,Sally Hughsby,Corporate,United States,Milwaukee,Wisconsin,53209,Central,FUR-CH-10004626,Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,403.56,4,0.0,96.8544
9895,US-2016-115441,2016-07-25,7/28/2016,Second Class,SH-19975,Sally Hughsby,Corporate,United States,Milwaukee,Wisconsin,53209,Central,FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",95.2,5,0.0,27.608
